LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,LATITUDE,LONGITUDE
0002341222-0001-0,RAIHAN KABIR CHOWDHURY / ZAHAN ARA CHOWDHURY,LA BUENA FE MARKET,4726 MELROSE AVENUE,LOS ANGELES,90029-3328,4726 MELROSE 90029-3328,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,05/09/2008,,"(34.0835, -118.303)",34.0835,-118.303
0002618653-0001-6,SHAHID RAJI,PHIL'S DISCOUNT STORE,1451 1/2 W 3RD STREET,LOS ANGELES,90017-1678,1451 3RD 90017-1678,1451 1/2 W 3RD STREET,LOS ANGELES,90017-1678,445100.0,Grocery stores (including supermarkets & convenience stores without gas),1,05/31/2012,,"(34.0589, -118.2631)",34.0589,-118.2631
0002737483-0001-1,ERNESTO REYES,LEEWARD MARKET,744 S VERMONT AVENUE,LOS ANGELES,90005-1520,744 VERMONT 90005-1520,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),10,01/01/2014,,"(34.0586, -118.2916)",34.0586,-118.2916
0000369983-0001-5,D F/R W INC,MAZEL FOOD DISTRIBUTORS,7005 TUJUNGA AVENUE,N HOLLYWOOD,91605-6215,7005 TUJUNGA 91605-6215,POST OFFICE BOX #3140,NORTH HOLLYWOOD,91609-0140,424400.0,Grocery & related products,2,11/14/1980,,"(34.1978, -118.379)",34.1978,-118.379
0000713659-0001-3,JAMAE NATURAL FOODS INC,,5958 W PICO BLVD,LOS ANGELES,90035-2658,5958 PICO 90035-2658,,,,424400.0,Grocery & related products,10,06/01/1989,,"(34.052, -118.3696)",34.052,-118.3696
0002657309-0001-9,JOSE D FLORES,ALLI'S MARKET,12003 S FIGUEROA STREET,LOS ANGELES,90061-1303,12003 FIGUEROA 90061-1303,,,,424400.0,Grocery & related products,15,01/21/2013,,"(33.9236, -118.2825)",33.9236,-118.2825
0002515552-0001-6,SARKIS AVEDISIAN /MARIA PONCE,LA RAZA FOODS,7782 SAN FERNANDO ROAD,SUN VALLEY,91352-4352,7782 SAN FERNANDO 91352-4352,,,,445210.0,Meat markets,2,08/05/2010,,"(34.2132, -118.3595)",34.2132,-118.3595
0000865229-0001-1,TRETO'S AND SONS CORP,,920 E 8TH STREET,LOS ANGELES,90021-1806,920 8TH 90021-1806,POST OFFICE BOX #3039,CHINO HILLS,91709-0102,445230.0,Fruit & vegetable markets,14,01/01/1999,,"(34.0362, -118.2464)",34.0362,-118.2464
0002644101-0001-8,BENIAM MULUGETA,HENRYS MARKET,2101 ESTRELLA AVENUE,LOS ANGELES,90007-2043,2101 ESTRELLA 90007-2043,3326 KEYSTONE AVENUE #1,LOS ANGELES,90034-8101,445100.0,Grocery stores (including supermarkets & convenience stores without gas),1,12/01/2012,,"(34.0325, -118.2762)",34.0325,-118.2762
0000533837-0003-1,GREAT CIRCLE FAMILY FOODS LLC,KRISPY KREME DOUGHNUTS,4034 CRENSHAW BLVD,LOS ANGELES,90008-2533,4034 CRENSHAW 90008-2533,4760 E LOS COYOTES DIAGONAL,LONG BEACH,90815-2825,424400.0,Grocery & related products,10,09/12/2000,,"(34.0112, -118.3351)",34.0112,-118.3351
0000448894-0001-1,JHP PRODUCE INC,J HELLMAN PRODUCE INC,734 S ALAMEDA STREET,LOS ANGELES,90021-1616,734 ALAMEDA 90021-1616,POST OFFICE BOX #86485,LOS ANGELES,90086-0485,424400.0,Grocery & related products,14,10/01/1956,,"(34.0326, -118.2387)",34.0326,-118.2387
0000031552-0001-3,SANTOS A GONZALEZ,CONCHITA MARKET,3432 N BROADWAY,LOS ANGELES,90031-2832,3432 BROADWAY 90031-2832,10346 OTIS STREET,SOUTH GATE,90280-6720,445100.0,Grocery stores (including supermarkets & convenience stores without gas),1,07/13/1992,,"(34.0737, -118.2047)",34.0737,-118.2047
0002094828-0001-3,KASAI CONSULTING INC,,1130 S FLOWER STREET #407,LOS ANGELES,90015-2144,1130 FLOWER 90015-2144,,,,445220.0,Fish & seafood markets,14,02/02/2006,,"(34.0422, -118.2648)",34.0422,-118.2648
0000048995-0001-1,MICHAEL J KUCURA,TOM & GERRY,73 BERTH,SAN PEDRO,90731-4433,73 BERTH 90731-4433,1958 HOMEWORTH DRIVE,PALOS VERDES PENINSULA,90275-2028,424400.0,Grocery & related products,15,01/07/2000,,"(33.7296, -118.2751)",33.7296,-118.2751
0002479771-0001-7,K & H INTERNATIONAL INC,,300 S ANDERSON STREET,LOS ANGELES,90033-3710,300 ANDERSON 90033-3710,300 S ANDERSON STREET,LOS ANGELES,90033-3710,424400.0,Grocery & related products,14,01/13/2010,,"(34.0447, -118.2265)",34.0447,-118.2265
0002098556-0001-0,ZAFIRO PRODUCE INC,ZAFIRO PRODUCE,2640 E WASHINGTON BLVD UNIT #29,LOS ANGELES,90023-2691,2640 WASHINGTON 90023-2691,10646 BEXLEY DRIVE,WHITTIER,90606-1354,424400.0,Grocery & related products,14,10/01/2004,,"(34.0173, -118.225)",34.0173,-118.225
0002689319-0001-6,"BEVERLY HILLS KOSHER MEAT, LLC",WHOLESALE AND RETAIL,9213 W PICO BLVD,LOS ANGELES,90035-1318,9213 PICO 90035-1318,,,,424400.0,Grocery & related products,5,06/19/2013,,"(34.0552, -118.3922)",34.0552,-118.3922
0000546117-0001-9,ALLANS LIQUOR INC,ALLANS LIQUOR INC,16060 VANOWEN STREET,VAN NUYS,91406-4809,16060 VANOWEN 91406-4809,6020 KESTER AVENUE,VAN NUYS,91411-2607,445100.0,Grocery stores (including supermarkets & convenience stores without gas),6,06/23/1986,,"(34.1939, -118.4827)",34.1939,-118.4827
0000861895-0001-9,SEA SNACK FOODS INC,,914 E 11TH STREET,LOS ANGELES,90021-2034,914 11TH 90021-2034,,,,424400.0,Grocery & related products,14,03/01/1970,,"(34.0326, -118.2486)",34.0326,-118.2486
0000820712-0001-5,FRANCISCO GONZALEZ/MARIA TERESA GONZALEZ,PANCHOS MARKET,1191 W 24TH STREET,LOS ANGELES,90007-1725,1191 24TH 90007-1725,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),8,01/19/1991,,"(34.0343, -118.2862)",34.0343,-118.2862
0000860899-0001-0,SAFRON SALES & MARKETING INC,,13637 HATTERAS STREET,VAN NUYS,91401-4519,13637 HATTERAS 91401-4519,,,,424400.0,Grocery & related products,2,01/01/1997,,"(34.1757, -118.4302)",34.1757,-118.4302
0000877831-0001-9,MARCOS MORENO CABRERA,CORREAS MARKET,2707 N MAIN STREET,LOS ANGELES,90031-3320,2707 MAIN 90031-3320,,,,445230.0,Fruit & vegetable markets,1,01/15/2003,,"(34.0659, -118.2138)",34.0659,-118.2138
0000044449-0001-1,JONATHAN BYUNG KWON,HERBLAND,2120 W 8TH STREET SUITE #305,LOS ANGELES,90057-4019,2120 8TH 90057-4019,2120 W 8TH STREET SUITE #350,LOS ANGELES,90057-4036,424400.0,Grocery & related products,1,02/23/2000,,"(34.0549, -118.278)",34.0549,-118.278
0000907293-0001-1,ENCINO GLATT MARKET,,17977 VENTURA BLVD,ENCINO,91316-3618,17977 VENTURA 91316-3618,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,05/15/2004,,"(34.1642, -118.5238)",34.1642,-118.5238
0000296995-0001-0,MOUNTAIN MEADOW PRODUCTION CORPORATION,EVEREST MEATS,1617 E 25TH STREET,LOS ANGELES,90011-1815,1617 25TH 90011-1815,,,,424400.0,Grocery & related products,9,12/01/2003,,"(34.0146, -118.2443)",34.0146,-118.2443
0002674810-0001-3,MANNA FLAVORS INC,INDIA SWEETS AND SPICES CHAI CAFE,9409 VENICE BLVD,CULVER CITY,90232-2623,9409 VENICE 90232-2623,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,12/16/2009,,"(34.0254, -118.3951)",34.0254,-118.3951
0002539321-0001-6,AKHTAR HUSAIN,F. J. SEAFOODS INTERNATIONAL,9420 NOBLE AVENUE #109,NORTH HILLS,91343-7824,9420 NOBLE 91343-7824,,,,445220.0,Fish & seafood markets,7,01/30/2010,,"(34.2414, -118.4609)",34.2414,-118.4609
0000466159-0001-0,COMMODITY SALES INC,,517 S CLARENCE STREET,LOS ANGELES,90033-4225,517 CLARENCE 90033-4225,1470 E 4TH STREET,LOS ANGELES,90033-4236,424400.0,Grocery & related products,14,01/01/1990,,"(34.0395, -118.2232)",34.0395,-118.2232
0000467504-0001-9,DAY-LEE FOODS INC,,13055 MOLETTE STREET,SANTA FE SPRINGS,90670-5521,13055 MOLETTE 90670,,,,424400.0,Grocery & related products,0,01/01/1990,,"(33.8914, -118.0524)",33.8914,-118.0524
0002598587-0001-2,YONG KAK CHON,EXPRESS NEWS,155 S MAIN STREET UNIT #A,LOS ANGELES,90012-3701,155 MAIN 90012-3701,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),14,03/01/2012,,"(34.0515, -118.244)",34.0515,-118.244
0000689666-0001-6,HONG CHAN BAE,FARM FRESH DAIRY,9803 AVALON BLVD,LOS ANGELES,90003-4314,9803 AVALON 90003-4314,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),8,12/01/1988,,"(33.9473, -118.2651)",33.9473,-118.2651
0000008749-0001-0,VICTOR TORRES,KATE'S MINI MARKET,660 W FLORENCE AVENUE,LOS ANGELES,90044-6104,660 FLORENCE 90044-6104,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),8,06/13/2003,,"(33.9746, -118.2853)",33.9746,-118.2853
0002450494-0001-5,MAGGIE KIM,AMIGOS MARKET,2609 W TEMPLE STREET,LOS ANGELES,90026-4821,2609 TEMPLE 90026-4821,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,07/06/2009,,"(34.0725, -118.2749)",34.0725,-118.2749
0000432391-0001-6,DANIEL FOOD ENTERPRISES INC,VALLARTA SUPERMARKET,10859 OXNARD STREET,N HOLLYWOOD,91606-5020,10859 OXNARD 91606-5020,12881 BRADLEY AVENUE,SYLMAR,91342-3828,445100.0,Grocery stores (including supermarkets & convenience stores without gas),2,02/28/1997,,"(34.1794, -118.3672)",34.1794,-118.3672
0000491597-0002-9,JUNG HWAN OH,,2421 MAPLE AVENUE,LOS ANGELES,90011-1409,2421 MAPLE 90011-1409,,,,424400.0,Grocery & related products,9,05/22/2010,,"(34.0246, -118.2646)",34.0246,-118.2646
0002750132-0001-6,ALEJANDRO GARCIA,ALEX'S CATERING,15455 CABRITO ROAD,VAN NUYS,91406-1407,15455 CABRITO 91406-1407,19609 SHERMAN WAY UNIT #258,RESEDA,91335-7921,424400.0,Grocery & related products,6,02/01/2014,,"(34.2168, -118.4695)",34.2168,-118.4695
0002754948-0001-1,PAUL H KIM & SUN M PARK,FRESH FOOD USA,522 S NORMANDIE AVENUE #305,LOS ANGELES,90020-3002,522 NORMANDIE 90020-3002,,,,445210.0,Meat markets,10,06/04/2014,,"(34.0649, -118.3003)",34.0649,-118.3003
0002759756-0001-6,CAPITAL PACIFIC SEAFOOD & FRESH CORP,,108 E 67TH WAY,LONG BEACH,90805-1204,108 67TH 90805-1204,,,,445220.0,Fish & seafood markets,0,04/28/2014,,"(33.8768, -118.2016)",33.8768,-118.2016
0000740054-0002-7,K R FOOD INC,,340 N MYERS STREET UNIT #A,LOS ANGELES,90033-2113,340 MYERS 90033-2113,,,,424400.0,Grocery & related products,14,01/01/2013,,"(34.0511, -118.2282)",34.0511,-118.2282
0002756620-0001-8,GC MARKET PLACE LLC,GC MARKETPLACE,3315 CAHUENGA BLVD W,LOS ANGELES,90068-1327,3315 CAHUENGA 90068-1327,3812 CARNAVON WAY,LOS ANGELES,90027-1310,445210.0,Meat markets,4,09/01/2014,,"(34.1304, -118.3502)",34.1304,-118.3502
0000106485-0001-2,YIQUN WANG,XENOPHILE INTERNTIONAL TRADING CO,10790 ROSE AVENUE #202,LOS ANGELES,90034-4440,10790 ROSE 90034-4440,,,,424400.0,Grocery & related products,5,08/01/2000,,"(34.0256, -118.4155)",34.0256,-118.4155
0000696424-0001-1,NIGEL DORSEY,MORRY'S FINER FOODS,9118 W PICO BLVD,LOS ANGELES,90035-1321,9118 PICO 90035-1321,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,10/01/2002,,"(34.0552, -118.3907)",34.0552,-118.3907
0000350444-0017-9,SODEXO AMERICA LLC,QUEEN OF ANGELS,1300 N VERMONT AVENUE,LOS ANGELES,90027-6005,1300 VERMONT 90027-6005,POST OFFICE BOX #352,BUFFALO,14240-0352,424400.0,Grocery & related products,13,03/12/2000,,"(34.0955, -118.2917)",34.0955,-118.2917
0000528334-0001-1,LUPE GUTIERREZ,EL SERENO MEAT MARKET,4944 HUNTINGTON DRIVE S,LOS ANGELES,90032-1627,4944 HUNTINGTON 90032-1627,,,,445230.0,Fruit & vegetable markets,14,07/14/1986,,"(34.0872, -118.1754)",34.0872,-118.1754
0002616228-0001-1,MIGUEL ANGEL HERNANDEZ,LOS 3 HERNANDEZ MINI MARKET,1301 W JEFFERSON BLVD,LOS ANGELES,90007-3436,1301 JEFFERSON 90007-3436,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),8,05/15/2012,,"(34.0255, -118.2948)",34.0255,-118.2948
0002563403-0001-1,TRITON FISHING INC,,1141 W 25TH STREET,SAN PEDRO,90731-4901,1141 25TH 90731-4901,,,,445220.0,Fish & seafood markets,15,09/13/2010,,"(33.7215, -118.3021)",33.7215,-118.3021
0000055547-0001-4,DALLAE INC,PINCHER'S LIQUOR,5121 W PICO BLVD,LOS ANGELES,90019-4133,5121 PICO 90019-4133,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),10,11/01/2004,,"(34.048, -118.3497)",34.048,-118.3497
0000422453-0001-2,GALLERIA MARKET/NORTHRIDGE LP,,10201 RESEDA BLVD,NORTHRIDGE,91324-5010,10201 RESEDA 91324-5010,5801 S MALT AVENUE,COMMERCE,90040-3501,445100.0,Grocery stores (including supermarkets & convenience stores without gas),12,02/01/2004,,"(34.2558, -118.536)",34.2558,-118.536
0002488004-0001-7,FIESTA LIQUOR,,7215 VINELAND AVENUE,SUN VALLEY,91352-5003,7215 VINELAND 91352-5003,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),2,03/01/2010,,"(34.2016, -118.3703)",34.2016,-118.3703
0000210285-0006-5,MRS GOOCHS NATURAL FOOD MARKETS INC,WHOLE FOODS MARKET,21347 VENTURA BLVD,WOODLAND HILLS,91364-2007,21347 VENTURA 91364-2007,POST OFFICE BOX #684786,AUSTIN,78768-4786,445100.0,Grocery stores (including supermarkets & convenience stores without gas),3,10/06/1999,,"(34.1676, -118.5964)",34.1676,-118.5964
0002772310-0001-3,RODRIGO JIMENEZ,ELITE FISH COMPANY,680 N SPRING STREET,LOS ANGELES,90012-2835,680 SPRING 90012-2835,POST OFFICE BOX #862258,LOS ANGELES,90086-2258,445220.0,Fish & seafood markets,1,09/02/2014,,"(34.0594, -118.238)",34.0594,-118.238
0002766148-0001-7,AMERIA FOOD INC,,10888 LA TUNA CANYON ROAD TRAILER #T,SUN VALLEY,91352-2007,10888 LA TUNA CANYON 91352-2007,,,,424400.0,Grocery & related products,6,01/30/2014,,"(34.2346, -118.3691)",34.2346,-118.3691
0002569621-0001-0,LAARNI LORENZO,,17173 MCKEEVER STREET,GRANADA HILLS,91344-4147,17173 MCKEEVER 91344-4147,17173 MCKEEVER STREET,GRANADA HILLS,91344-4147,424400.0,Grocery & related products,12,06/15/2011,,"(34.2746, -118.5078)",34.2746,-118.5078
0002261641-0001-2,CORONADO MARKET INC,TEMPLE SEAFOOD MARKET,2422 W TEMPLE STREET,LOS ANGELES,90026-4818,2422 TEMPLE 90026-4818,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,07/12/2007,,"(34.0716, -118.2721)",34.0716,-118.2721
0000423735-0001-6,YAMASA ENTERPRISES INC,,515 STANFORD AVENUE,LOS ANGELES,90013-2122,515 STANFORD 90013-2122,,,,424400.0,Grocery & related products,14,05/01/1956,,"(34.0423, -118.2414)",34.0423,-118.2414
0000380648-0001-6,FUENTES PRODUCE CORP,FUENTES PRODUCE,746 S CENTRAL AVENUE SPACE #B2-1,LOS ANGELES,90021-1533,746 CENTRAL 90021-1533,650 FRASER AVENUE,LOS ANGELES,90022-3122,445230.0,Fruit & vegetable markets,14,02/01/1993,,"(34.0354, -118.2421)",34.0354,-118.2421
0000182637-0001-1,MYFA KING BUSINESS INC,,101 CATAMARAN STREET #3,VENICE,90292-5764,101 CATAMARAN 90292-5764,,,,445230.0,Fruit & vegetable markets,11,06/30/1999,,"(33.9781, -118.4643)",33.9781,-118.4643
0002640468-0001-7,VICTOR JAVIER MONFIL,LA TIENDITA,145 W WASHINGTON BLVD,LOS ANGELES,90015-3544,145 WASHINGTON 90015-3544,,,,424400.0,Grocery & related products,9,10/12/2012,,"(34.0316, -118.2658)",34.0316,-118.2658
0000285026-0001-1,BARERAS MEAT CO /C,,6850 E WASHINGTON BLVD,COMMERCE,90040-1906,6850 WASHINGTON 90040,,,,424400.0,Grocery & related products,0,07/31/2000,,"(33.9994, -118.1298)",33.9994,-118.1298
0000106070-0001-3,"NAT STORES GROUP, INC.",7-ELEVEN STORE 21565C,1451 S LA CIENEGA BLVD,LOS ANGELES,90035-3718,1451 LA CIENEGA 90035-3718,POST OFFICE BOX #219088,DALLAS,75221-9088,445100.0,Grocery stores (including supermarkets & convenience stores without gas),10,06/07/1984,,"(34.0518, -118.3761)",34.0518,-118.3761
0002603131-0001-6,SAAK SAM SAAKYAN / MANIK MONA SAAKYAN,LITTLE MERMAID SMOK HOUSE,7409 BELLAIRE AVENUE,NORTH HOLLYWOOD,91605-4304,7409 BELLAIRE 91605-4304,,,,445220.0,Fish & seafood markets,2,03/01/2012,,"(34.2058, -118.4094)",34.2058,-118.4094
0002615911-0001-5,LUIS ENRIQUE RODRIGUEZ,TITO'S MINI MARKET,3238 E 5TH STREET,LOS ANGELES,90063-3113,3238 5TH 90063-3113,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),14,05/01/2012,,"(34.0337, -118.2007)",34.0337,-118.2007
0002103653-0001-6,AMINA KHATOON ROB,SAN PEDRO DISCOUNT MARKET,11868 S SAN PEDRO STREET,LOS ANGELES,90061-2450,11868 SAN PEDRO 90061-2450,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),15,03/23/2006,,"(33.9252, -118.2695)",33.9252,-118.2695
0002464255-0001-4,LILIANA MELGAR,L & G MINI MARKET DISCOUNT,6415 1/2 S VERMONT AVENUE,LOS ANGELES,90044-3625,6415 VERMONT 90044-3625,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),8,09/22/2009,,"(33.9812, -118.2918)",33.9812,-118.2918
0002606024-0001-0,HOKTO KINOKO COMPANY,,130 S MYERS STREET,LOS ANGELES,90033-3212,130 MYERS 90033-3212,2033 MARILYN LANE,SAN MARCOS,92069-9756,424400.0,Grocery & related products,14,01/01/2009,,"(34.0467, -118.2286)",34.0467,-118.2286
0002735341-0001-5,BE MY GUEST INC,,701 LINCOLN BLVD,VENICE,90291-2845,701 LINCOLN 90291-2845,701 LINCOLN BLVD,VENICE,90291-2845,445100.0,Grocery stores (including supermarkets & convenience stores without gas),11,03/01/2014,,"(33.9997, -118.4644)",33.9997,-118.4644
0000888840-0001-1,JOHAL STORES INC,7-ELEVEN STORE #21483D,14104 FOOTHILL BLVD,SYLMAR,91342-1516,14104 FOOTHILL 91342-1516,POST OFFICE BOX #219088,DALLAS,75221-9088,445100.0,Grocery stores (including supermarkets & convenience stores without gas),7,12/03/1991,,"(34.3156, -118.4408)",34.3156,-118.4408
0000393346-0001-1,ANA GARCIA/FRANCISCO HILERIO,PANCHO PRODUCE,1114 E 8TH STREET #7,LOS ANGELES,90021-1512,1114 8TH 90021-1512,3747 RANDOLPH AVENUE,LOS ANGELES,90032-1514,445230.0,Fruit & vegetable markets,14,04/01/2001,,"(34.0351, -118.2451)",34.0351,-118.2451
0002429401-0001-5,NUMERO UNO ACQUISITIONS LLC,NUMERO UNO MARKET,4373 S VERMONT AVENUE,LOS ANGELES,90037-2411,4373 VERMONT 90037-2411,6701 WILSON AVENUE,LOS ANGELES,90001-2165,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,04/17/2009,,"(34.004, -118.2915)",34.004,-118.2915
0002425353-0002-3,KUMAR AND ASSOCIATES INC,7-ELEVEN STORE 35768A,12411 SHELDON STREET,SUN VALLEY,91352-1743,12411 SHELDON 91352-1743,POST OFFICE BOX #219088,DALLAS,75221-9088,445100.0,Grocery stores (including supermarkets & convenience stores without gas),6,06/07/2013,,"(34.2319, -118.4037)",34.2319,-118.4037
